## Sat Feb  4 17:34:55 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_9dahtbtd --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_9dahtbtd --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_9dahtbtd/queries.fasta --evalue 0.00001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope 1236 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NGJCOJPH_00023	413404.Rmag_0811	0.0	2490.0	COG0085@1|root,COG0085@2|Bacteria,1MUC4@1224|Proteobacteria,1RMK0@1236|Gammaproteobacteria,1J52Z@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	rpoB	GO:0000428,GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0030880,GO:0032774,GO:0032991,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0061695,GO:0071704,GO:0090304,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1990234	2.7.7.6	ko:K03043	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_Rpb2_1,RNA_pol_Rpb2_2,RNA_pol_Rpb2_3,RNA_pol_Rpb2_45,RNA_pol_Rpb2_6,RNA_pol_Rpb2_7
NGJCOJPH_00024	413404.Rmag_0810	0.0	2598.0	COG0086@1|root,COG0086@2|Bacteria,1MU3M@1224|Proteobacteria,1RPYH@1236|Gammaproteobacteria,1J4ZQ@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	rpoC	GO:0000428,GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0030880,GO:0032774,GO:0032991,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0061695,GO:0071704,GO:0090304,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1990234	2.7.7.6	ko:K03046	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5
NGJCOJPH_00025	413404.Rmag_0809	0.0	889.0	COG0147@1|root,COG0147@2|Bacteria,1MVBJ@1224|Proteobacteria,1RMSE@1236|Gammaproteobacteria,1J5AP@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	E	Part of a heterotetrameric complex that catalyzes the two-step biosynthesis of anthranilate, an intermediate in the biosynthesis of L-tryptophan. In the first step, the glutamine- binding beta subunit (TrpG) of anthranilate synthase (AS) provides the glutamine amidotransferase activity which generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by the large alpha subunit of AS (TrpE) to produce anthranilate. In the absence of TrpG, TrpE can synthesize anthranilate directly from chorismate and high concentrations of ammonia	trpE	-	4.1.3.27	ko:K01657	ko00400,ko00405,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map01100,map01110,map01130,map01230,map02024,map02025	M00023	R00985,R00986	RC00010,RC02148,RC02414	ko00000,ko00001,ko00002,ko01000	-	-	iJN746.PP_0417	Anth_synt_I_N,Chorismate_bind
NGJCOJPH_00026	413404.Rmag_0808	2.83e-66	202.0	COG2010@1|root,COG2010@2|Bacteria,1N91W@1224|Proteobacteria,1SD5N@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	Sulfur oxidation	soxX	-	-	ko:K17223	ko00920,ko01100,ko01120,map00920,map01100,map01120	M00595	R10151	RC03151,RC03152	ko00000,ko00001,ko00002	-	-	-	Cytochrom_C,Cytochrome_CBB3
NGJCOJPH_00028	413404.Rmag_0806	4.7e-58	180.0	COG5501@1|root,COG5501@2|Bacteria,1N097@1224|Proteobacteria,1SCTJ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	PFAM Sulphur oxidation protein SoxZ	soxZ	-	-	ko:K17227	ko00920,ko01100,ko01120,map00920,map01100,map01120	M00595	R10151	RC03151,RC03152	ko00000,ko00001,ko00002	-	-	-	SoxZ
NGJCOJPH_00029	413404.Rmag_0805	2.49e-168	473.0	COG3258@1|root,COG3258@2|Bacteria,1MXB0@1224|Proteobacteria,1RS6A@1236|Gammaproteobacteria,1J7ZS@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	C	Thiosulfate-oxidizing multienzyme system protein SoxA	soxA	-	1.8.2.2	ko:K17222,ko:K19713	ko00920,ko01100,ko01120,map00920,map01100,map01120	M00595	R10151	RC03151,RC03152	ko00000,ko00001,ko00002,ko01000	-	-	-	-
NGJCOJPH_00031	413404.Rmag_0803	0.0	2087.0	COG0587@1|root,COG0587@2|Bacteria,1MUIF@1224|Proteobacteria,1RP0K@1236|Gammaproteobacteria,1J4NP@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	L	DNA polymerase III, alpha subunit	dnaE	GO:0003674,GO:0003824,GO:0003887,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009360,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0032991,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0042575,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044776,GO:0046483,GO:0061695,GO:0071704,GO:0071897,GO:0090304,GO:0140097,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1990234	2.7.7.7	ko:K02337	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_alpha,HHH_6,PHP,tRNA_anti-codon
NGJCOJPH_00033	413404.Rmag_0801	2.55e-254	701.0	COG0452@1|root,COG0452@2|Bacteria,1MVQP@1224|Proteobacteria,1RMKQ@1236|Gammaproteobacteria,1J4KE@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	H	Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine	coaBC	GO:0000166,GO:0003674,GO:0003824,GO:0004632,GO:0004633,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0010181,GO:0015936,GO:0015937,GO:0016829,GO:0016830,GO:0016831,GO:0016874,GO:0016879,GO:0016881,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0032553,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046390,GO:0046483,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	4.1.1.36,6.3.2.5	ko:K13038	ko00770,ko01100,map00770,map01100	M00120	R03269,R04231	RC00064,RC00090,RC00822	ko00000,ko00001,ko00002,ko01000	-	-	iEC042_1314.EC042_3945,iECUMN_1333.ECUMN_4154,iJN746.PP_5285,iSBO_1134.SBO_3641	DFP,Flavoprotein
NGJCOJPH_00034	413404.Rmag_0800	1.62e-219	609.0	COG0117@1|root,COG1985@1|root,COG0117@2|Bacteria,COG1985@2|Bacteria,1MUWT@1224|Proteobacteria,1RN2M@1236|Gammaproteobacteria,1J4HI@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	H	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate	ribD	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0006139,GO:0006725,GO:0006766,GO:0006767,GO:0006771,GO:0006807,GO:0008150,GO:0008152,GO:0008703,GO:0008835,GO:0009058,GO:0009110,GO:0009231,GO:0009451,GO:0009987,GO:0016070,GO:0016491,GO:0016614,GO:0016616,GO:0016787,GO:0016810,GO:0016814,GO:0017144,GO:0018130,GO:0019239,GO:0034641,GO:0036094,GO:0042364,GO:0042726,GO:0042727,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046483,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0071704,GO:0090304,GO:0097159,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	1.1.1.193,3.5.4.26	ko:K01498,ko:K11752	ko00740,ko01100,ko01110,ko02024,map00740,map01100,map01110,map02024	M00125	R03458,R03459	RC00204,RC00933	ko00000,ko00001,ko00002,ko01000	-	-	iB21_1397.B21_00366,iECBD_1354.ECBD_3247,iECB_1328.ECB_00362,iECD_1391.ECD_00362,iECED1_1282.ECED1_0437,iECNA114_1301.ECNA114_0391,iECSF_1327.ECSF_0374,iEcolC_1368.EcolC_3219,iJN746.PP_0514,iLF82_1304.LF82_1880,iNRG857_1313.NRG857_01945,iYL1228.KPN_00366,ic_1306.c0524	RibD_C,dCMP_cyt_deam_1
NGJCOJPH_00035	1026882.MAMP_02513	6.58e-187	526.0	COG0468@1|root,COG0468@2|Bacteria,1MU3C@1224|Proteobacteria,1RMHP@1236|Gammaproteobacteria,45ZTK@72273|Thiotrichales	1236|Gammaproteobacteria	L	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage	recA	GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006928,GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0008152,GO:0009314,GO:0009432,GO:0009605,GO:0009628,GO:0009987,GO:0009991,GO:0010212,GO:0031668,GO:0033554,GO:0034641,GO:0040011,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0048870,GO:0050896,GO:0051179,GO:0051674,GO:0051716,GO:0071496,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363	-	ko:K03553	ko03440,map03440	M00729	-	-	ko00000,ko00001,ko00002,ko03400	-	-	-	RecA
NGJCOJPH_00036	1026882.MAMP_02514	4.14e-32	118.0	COG2137@1|root,COG2137@2|Bacteria,1N6P6@1224|Proteobacteria,1SCMF@1236|Gammaproteobacteria,461G2@72273|Thiotrichales	1236|Gammaproteobacteria	S	Modulates RecA activity	recX	GO:0003674,GO:0005488,GO:0005515,GO:0006282,GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0019219,GO:0019222,GO:0019899,GO:0030234,GO:0031323,GO:0031668,GO:0033554,GO:0043086,GO:0044092,GO:0048583,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051052,GO:0051171,GO:0051716,GO:0060255,GO:0065007,GO:0065009,GO:0071496,GO:0080090,GO:0080134,GO:0080135,GO:0098772,GO:2001020	-	ko:K03565	-	-	-	-	ko00000,ko03400	-	-	-	RecX
NGJCOJPH_00037	413404.Rmag_0799	3.47e-154	449.0	COG5265@1|root,COG5265@2|Bacteria,1NSKS@1224|Proteobacteria,1T1W9@1236|Gammaproteobacteria,1J5MS@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	V	COG5265 ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components	atmA	-	-	ko:K06147	-	-	-	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	-	ABC_membrane,ABC_tran
NGJCOJPH_00038	314285.KT71_12205	2.6e-36	124.0	COG2963@1|root,COG2963@2|Bacteria,1MZ3D@1224|Proteobacteria,1S6KR@1236|Gammaproteobacteria,1JAS6@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	L	Helix-turn-helix domain	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_Tnp_1
NGJCOJPH_00039	521719.ATXQ01000008_gene1068	4.87e-135	388.0	COG2801@1|root,COG2801@2|Bacteria,1MVN5@1224|Proteobacteria,1RP6D@1236|Gammaproteobacteria,1YKUK@136841|Pseudomonas aeruginosa group	1236|Gammaproteobacteria	L	Integrase core domain	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	rve,rve_3
NGJCOJPH_00040	413404.Rmag_0799	5.17e-212	602.0	COG5265@1|root,COG5265@2|Bacteria,1NSKS@1224|Proteobacteria,1T1W9@1236|Gammaproteobacteria,1J5MS@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	V	COG5265 ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components	atmA	-	-	ko:K06147	-	-	-	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	-	ABC_membrane,ABC_tran
