Gene_id	Description	Length	e-Value	GO
NGJCOJPH_00189	molybdenum cofactor biosynthesis protein MoaE	149	1.05484E-95	P:GO:0006777 P:Mo-molybdopterin cofactor biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0030366 F:molybdopterin synthase activity
NGJCOJPH_00171	molybdopterin adenylyltransferase	176	1.7965E-107	P:GO:0006777 P:Mo-molybdopterin cofactor biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0016779 F:nucleotidyltransferase activity; F:GO:0061598 F:molybdopterin adenylyltransferase activity
NGJCOJPH_00184	molybdopterin converting factor subunit 1	78	1.08042E-43	P:GO:0006777 P:Mo-molybdopterin cofactor biosynthetic process
NGJCOJPH_00384	type II toxin-antitoxin system RatA family toxin	143	3.74717E-92	P:GO:0006744 P:ubiquinone biosynthetic process; P:GO:0045333 P:cellular respiration; F:GO:0048039 F:ubiquinone binding
NGJCOJPH_01343	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	246	6.9925E-168	P:GO:0006744 P:ubiquinone biosynthetic process; F:GO:0008168 F:methyltransferase activity; F:GO:0008425 F:2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity; P:GO:0009060 P:aerobic respiration; P:GO:0009234 P:menaquinone biosynthetic process; F:GO:0016740 F:transferase activity; P:GO:0032259 P:methylation; F:GO:0043333 F:2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity; F:GO:0043770 F:demethylmenaquinone methyltransferase activity; F:GO:0102027 F:S-adenosylmethionine:2-demethylquinol-8 methyltransferase activity; F:GO:0102094 F:S-adenosylmethionine:2-demethylmenaquinol methyltransferase activity; F:GO:0102955 F:S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity; P:GO:1901663 P:quinone biosynthetic process
NGJCOJPH_00063	4a-hydroxytetrahydrobiopterin dehydratase	97	1.39405E-55	P:GO:0006729 P:tetrahydrobiopterin biosynthetic process; F:GO:0008124 F:4-alpha-hydroxytetrahydrobiopterin dehydratase activity; F:GO:0016829 F:lyase activity
NGJCOJPH_00343	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	332	0.0	P:GO:0006629 P:lipid metabolic process; P:GO:0009245 P:lipid A biosynthetic process; F:GO:0016410 F:N-acyltransferase activity; F:GO:0016740 F:transferase activity; F:GO:0016746 F:transferase activity, transferring acyl groups; F:GO:0016747 F:transferase activity, transferring acyl groups other than amino-acyl groups
NGJCOJPH_00341	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase	263	0.0	P:GO:0006629 P:lipid metabolic process; P:GO:0008610 P:lipid biosynthetic process; F:GO:0008780 F:acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity; P:GO:0009245 P:lipid A biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0016746 F:transferase activity, transferring acyl groups
NGJCOJPH_00712	UDP-3-O-acyl-N-acetylglucosamine deacetylase	303	0.0	P:GO:0006629 P:lipid metabolic process; P:GO:0006796 P:phosphate-containing compound metabolic process; F:GO:0008759 F:UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity; P:GO:0009245 P:lipid A biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0016746 F:transferase activity, transferring acyl groups; F:GO:0016787 F:hydrolase activity; P:GO:0019637 P:organophosphate metabolic process; F:GO:0046872 F:metal ion binding; F:GO:0103117 F:UDP-3-O-acyl-N-acetylglucosamine deacetylase activity; P:GO:1901135 P:carbohydrate derivative metabolic process
NGJCOJPH_01393	lipid-A-disaccharide synthase	361	0.0	P:GO:0006629 P:lipid metabolic process; F:GO:0008915 F:lipid-A-disaccharide synthase activity; P:GO:0009245 P:lipid A biosynthetic process; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016740 F:transferase activity; F:GO:0016757 F:transferase activity, transferring glycosyl groups
NGJCOJPH_00468	phosphoserine phosphatase SerB	267	7.43511E-165	P:GO:0006564 P:L-serine biosynthetic process; P:GO:0008652 P:cellular amino acid biosynthetic process; F:GO:0016787 F:hydrolase activity; F:GO:0036424 F:L-phosphoserine phosphatase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_00211	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	502	0.0	P:GO:0006537 P:glutamate biosynthetic process; F:GO:0015930 F:glutamate synthase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016041 F:glutamate synthase (ferredoxin) activity; F:GO:0016491 F:oxidoreductase activity; F:GO:0016638 F:oxidoreductase activity, acting on the CH-NH2 group of donors
NGJCOJPH_00957	ATP-dependent Clp protease adapter ClpS	99	2.25785E-58	P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; P:GO:0030163 P:protein catabolic process
NGJCOJPH_00072	insulinase family protein	437	0.0	P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_00396	M48 family metallopeptidase	215	3.56934E-143	P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008237 F:metallopeptidase activity; F:GO:0016787 F:hydrolase activity
NGJCOJPH_00506	metalloprotease TldD	474	0.0	P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008237 F:metallopeptidase activity; F:GO:0016787 F:hydrolase activity
NGJCOJPH_01063	metalloprotease PmbA	439	0.0	P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0008237 F:metallopeptidase activity
NGJCOJPH_00617	protease modulator HflC	285	0.0	P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; P:GO:0052547 P:regulation of peptidase activity
NGJCOJPH_00121	Periplasmic serine proteases (ClpP class)	315	0.0	P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane
NGJCOJPH_00618	FtsH protease activity modulator HflK	387	0.0	P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane
NGJCOJPH_00309	M61 family metallopeptidase	199	1.92596E-123	P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity
NGJCOJPH_00310	Putative protease	165	3.1566E-76	P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity
NGJCOJPH_01201	stringent starvation protein B	118	9.73348E-69	P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity
NGJCOJPH_01051	Peptide deformylase	180	1.83358E-106	P:GO:0006412 P:translation; F:GO:0016787 F:hydrolase activity; F:GO:0042586 F:peptide deformylase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_00313	tRNA 2-thiocytidine biosynthesis protein TtcA	247	1.94471E-165	P:GO:0006400 P:tRNA modification; P:GO:0008033 P:tRNA processing; F:GO:0016740 F:transferase activity
NGJCOJPH_00041	tRNA guanosine(34) transglycosylase Tgt	373	0.0	P:GO:0006400 P:tRNA modification; P:GO:0008033 P:tRNA processing; F:GO:0008479 F:queuine tRNA-ribosyltransferase activity; P:GO:0008616 P:queuosine biosynthetic process; F:GO:0016740 F:transferase activity; F:GO:0016757 F:transferase activity, transferring glycosyl groups; F:GO:0016763 F:transferase activity, transferring pentosyl groups; F:GO:0046872 F:metal ion binding; P:GO:0101030 P:tRNA-guanine transglycosylation
NGJCOJPH_01493	tRNA (guanosine(46)-N7)-methyltransferase TrmB	205	4.75002E-132	P:GO:0006400 P:tRNA modification; P:GO:0008033 P:tRNA processing; F:GO:0008168 F:methyltransferase activity; F:GO:0008176 F:tRNA (guanine-N7-)-methyltransferase activity; F:GO:0016740 F:transferase activity; P:GO:0032259 P:methylation; P:GO:0106004 P:tRNA (guanine-N7)-methylation
NGJCOJPH_00593	type II toxin-antitoxin system HicB family antitoxin	127	9.39948E-79	P:GO:0006355 P:regulation of transcription, DNA-templated
NGJCOJPH_00018	transcription termination/antitermination protein NusG	177	7.0252E-120	P:GO:0006353 P:DNA-templated transcription, termination; P:GO:0006354 P:DNA-templated transcription, elongation; P:GO:0006355 P:regulation of transcription, DNA-templated; P:GO:0031564 P:transcription antitermination; P:GO:0032784 P:regulation of DNA-templated transcription, elongation
NGJCOJPH_00873	DNA recombination and repair protein RecO	230	2.77753E-146	P:GO:0006281 P:DNA repair; P:GO:0006310 P:DNA recombination; P:GO:0006974 P:cellular response to DNA damage stimulus
NGJCOJPH_01468	Thiazole tautomerase TenI-like domain	307	0.0	P:GO:0006281 P:DNA repair; F:GO:0008413 F:8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity; F:GO:0016787 F:hydrolase activity; F:GO:0046872 F:metal ion binding
NGJCOJPH_00513	dihydroorotate dehydrogenase electron transfer subunit	282	0.0	P:GO:0006221 P:pyrimidine nucleotide biosynthetic process; F:GO:0016491 F:oxidoreductase activity; F:GO:0046872 F:metal ion binding; F:GO:0050660 F:flavin adenine dinucleotide binding; F:GO:0051536 F:iron-sulfur cluster binding; F:GO:0051537 F:2 iron, 2 sulfur cluster binding; F:GO:1990663 F:dihydroorotate dehydrogenase (fumarate) activity
NGJCOJPH_00161	formyltetrahydrofolate deformylase	283	0.0	P:GO:0006164 P:purine nucleotide biosynthetic process; P:GO:0006189 P:'de novo' IMP biosynthetic process; P:GO:0006730 P:one-carbon metabolic process; F:GO:0008864 F:formyltetrahydrofolate deformylase activity; P:GO:0009058 P:biosynthetic process; F:GO:0016787 F:hydrolase activity
NGJCOJPH_00097	nucleoside hydrolase	325	1.6774E-63	P:GO:0006139 P:nucleobase-containing compound metabolic process; P:GO:0008152 P:metabolic process; F:GO:0016787 F:hydrolase activity; F:GO:0016798 F:hydrolase activity, acting on glycosyl bonds; F:GO:0016799 F:hydrolase activity, hydrolyzing N-glycosyl compounds; P:GO:1901564 P:organonitrogen compound metabolic process
NGJCOJPH_01144	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	194	7.98331E-129	P:GO:0006119 P:oxidative phosphorylation; P:GO:0006189 P:'de novo' IMP biosynthetic process; P:GO:0006629 P:lipid metabolic process; F:GO:0008444 F:CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity; P:GO:0008654 P:phospholipid biosynthetic process; P:GO:0009252 P:peptidoglycan biosynthetic process; P:GO:0010133 P:proline catabolic process to glutamate; P:GO:0015940 P:pantothenate biosynthetic process; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016740 F:transferase activity; F:GO:0016780 F:phosphotransferase activity, for other substituted phosphate groups
NGJCOJPH_01344	citrate synthase	378	0.0	P:GO:0006099 P:tricarboxylic acid cycle; F:GO:0016740 F:transferase activity; F:GO:0016746 F:transferase activity, transferring acyl groups; F:GO:0036440 F:citrate synthase activity; F:GO:0046912 F:transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer
NGJCOJPH_00010	succinate dehydrogenase/fumarate reductase iron-sulfur subunit	241	4.65391E-168	P:GO:0006099 P:tricarboxylic acid cycle; F:GO:0009055 F:electron transfer activity; F:GO:0016491 F:oxidoreductase activity; P:GO:0022900 P:electron transport chain; F:GO:0046872 F:metal ion binding; F:GO:0051536 F:iron-sulfur cluster binding; F:GO:0051537 F:2 iron, 2 sulfur cluster binding; F:GO:0051538 F:3 iron, 4 sulfur cluster binding; F:GO:0102040 F:fumarate reductase (menaquinone)
NGJCOJPH_01136	KpsF/GutQ family sugar-phosphate isomerase	321	0.0	P:GO:0005975 P:carbohydrate metabolic process; F:GO:0016853 F:isomerase activity; F:GO:0019146 F:arabinose-5-phosphate isomerase activity; F:GO:0046872 F:metal ion binding; F:GO:0097367 F:carbohydrate derivative binding; P:GO:1901135 P:carbohydrate derivative metabolic process
NGJCOJPH_01407	Phosphoglycolate phosphatase	222	6.2957E-160	P:GO:0005975 P:carbohydrate metabolic process; F:GO:0008967 F:phosphoglycolate phosphatase activity; F:GO:0016787 F:hydrolase activity; F:GO:0016791 F:phosphatase activity; P:GO:0046295 P:glycolate biosynthetic process; F:GO:0046872 F:metal ion binding
NGJCOJPH_00057	polysaccharide deacetylase family protein	158	6.34523E-71	P:GO:0005975 P:carbohydrate metabolic process; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016810 F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
NGJCOJPH_00058	polysaccharide deacetylase family protein	139	2.89151E-69	P:GO:0005975 P:carbohydrate metabolic process; C:GO:0016020 C:membrane; C:GO:0016021 C:integral component of membrane; F:GO:0016810 F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
NGJCOJPH_00602	LamB/YcsF family protein	232	4.8034E-145	P:GO:0005975 P:carbohydrate metabolic process
NGJCOJPH_00863	DUF255 domain-containing protein	738	0.0	P:GO:0005975 P:carbohydrate metabolic process
NGJCOJPH_00234	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	219	4.73562E-143	P:GO:0002949 P:tRNA threonylcarbamoyladenosine modification; P:GO:0006508 P:proteolysis; F:GO:0008233 F:peptidase activity; F:GO:0016740 F:transferase activity; F:GO:0016787 F:hydrolase activity
NGJCOJPH_01515	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	356	0.0	P:GO:0002949 P:tRNA threonylcarbamoyladenosine modification; F:GO:0005506 F:iron ion binding; C:GO:0005737 C:cytoplasm; P:GO:0008033 P:tRNA processing; F:GO:0016740 F:transferase activity; F:GO:0016746 F:transferase activity, transferring acyl groups; F:GO:0016747 F:transferase activity, transferring acyl groups other than amino-acyl groups; F:GO:0016787 F:hydrolase activity; F:GO:0046872 F:metal ion binding; F:GO:0061711 F:N(6)-L-threonylcarbamoyladenine synthase activity
NGJCOJPH_00984	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	156	4.43331E-101	P:GO:0002949 P:tRNA threonylcarbamoyladenosine modification; C:GO:0005737 C:cytoplasm; F:GO:0016740 F:transferase activity
NGJCOJPH_01052	tRNA dihydrouridine synthase DusB	309	3.3053E-177	P:GO:0002943 P:tRNA dihydrouridine synthesis; F:GO:0003723 F:RNA binding; P:GO:0008033 P:tRNA processing; F:GO:0016491 F:oxidoreductase activity; F:GO:0017150 F:tRNA dihydrouridine synthase activity; F:GO:0043565 F:sequence-specific DNA binding; F:GO:0050660 F:flavin adenine dinucleotide binding
NGJCOJPH_00995	sulfurtransferase complex subunit TusB	98	7.80738E-63	P:GO:0002143 P:tRNA wobble position uridine thiolation; C:GO:0005737 C:cytoplasm; F:GO:0016740 F:transferase activity
NGJCOJPH_00960	tRNA adenosine(34) deaminase TadA	156	1.99298E-101	P:GO:0002100 P:tRNA wobble adenosine to inosine editing; F:GO:0003824 F:catalytic activity; P:GO:0008033 P:tRNA processing; F:GO:0008251 F:tRNA-specific adenosine deaminase activity; F:GO:0008270 F:zinc ion binding; F:GO:0016787 F:hydrolase activity; F:GO:0046872 F:metal ion binding; F:GO:0052717 F:tRNA-specific adenosine-34 deaminase activity
NGJCOJPH_00482	tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB	317	0.0	P:GO:0002098 P:tRNA wobble uridine modification; P:GO:0006400 P:tRNA modification; P:GO:0008033 P:tRNA processing; F:GO:0008168 F:methyltransferase activity; F:GO:0016740 F:transferase activity; F:GO:0016765 F:transferase activity, transferring alkyl or aryl (other than methyl) groups; P:GO:0032259 P:methylation
NGJCOJPH_00599	tRNA 2-selenouridine(34) synthase MnmH	365	0.0	P:GO:0002098 P:tRNA wobble uridine modification; F:GO:0016740 F:transferase activity; F:GO:0016765 F:transferase activity, transferring alkyl or aryl (other than methyl) groups; F:GO:0043828 F:tRNA 2-selenouridine synthase activity
NGJCOJPH_00945	carboxy-S-adenosyl-L-methionine synthase CmoA	237	3.98155E-160	P:GO:0002098 P:tRNA wobble uridine modification; F:GO:0008168 F:methyltransferase activity; F:GO:0016740 F:transferase activity; F:GO:0016743 F:carboxyl- or carbamoyltransferase activity; P:GO:0032259 P:methylation; F:GO:1904047 F:S-adenosyl-L-methionine binding
NGJCOJPH_01286	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	624	0.0	P:GO:0002098 P:tRNA wobble uridine modification; C:GO:0005737 C:cytoplasm; P:GO:0008033 P:tRNA processing; F:GO:0050660 F:flavin adenine dinucleotide binding
NGJCOJPH_00383	pseudouridine synthase	176	6.29982E-94	P:GO:0001522 P:pseudouridine synthesis; F:GO:0003723 F:RNA binding; P:GO:0009451 P:RNA modification; F:GO:0009982 F:pseudouridine synthase activity; F:GO:0016829 F:lyase activity; F:GO:0016853 F:isomerase activity; F:GO:0016866 F:intramolecular transferase activity; P:GO:0034470 P:ncRNA processing; F:GO:0140098 F:catalytic activity, acting on RNA
NGJCOJPH_01510	tRNA pseudouridine(38-40) synthase TruA	247	3.37564E-172	P:GO:0001522 P:pseudouridine synthesis; F:GO:0003723 F:RNA binding; P:GO:0008033 P:tRNA processing; P:GO:0009451 P:RNA modification; F:GO:0009982 F:pseudouridine synthase activity; F:GO:0016829 F:lyase activity; F:GO:0016853 F:isomerase activity; P:GO:0031119 P:tRNA pseudouridine synthesis; P:GO:0034470 P:ncRNA processing; F:GO:0106029 F:tRNA pseudouridine synthase activity; F:GO:0140098 F:catalytic activity, acting on RNA
NGJCOJPH_01262	tRNA pseudouridine(55) synthase TruB	302	0.0	P:GO:0001522 P:pseudouridine synthesis; F:GO:0003723 F:RNA binding; P:GO:0006396 P:RNA processing; P:GO:0008033 P:tRNA processing; P:GO:0009451 P:RNA modification; F:GO:0009982 F:pseudouridine synthase activity; F:GO:0016829 F:lyase activity; F:GO:0016853 F:isomerase activity; P:GO:0031119 P:tRNA pseudouridine synthesis; P:GO:0034470 P:ncRNA processing; F:GO:0106029 F:tRNA pseudouridine synthase activity; F:GO:0140098 F:catalytic activity, acting on RNA
NGJCOJPH_00657	RNA methyltransferase	247	2.95182E-174	P:GO:0001510 P:RNA methylation; F:GO:0003723 F:RNA binding; C:GO:0005737 C:cytoplasm; P:GO:0006396 P:RNA processing; P:GO:0008033 P:tRNA processing; F:GO:0008168 F:methyltransferase activity; F:GO:0008173 F:RNA methyltransferase activity; F:GO:0016740 F:transferase activity; P:GO:0032259 P:methylation
