transcript_id	gene_id	length	effective_length	expected_count	TPM	FPKM	IsoPct
TRINITY_DN100372_c0_g1_i1	TRINITY_DN100372_c0_g1_i1	324	92.74	5.00	22.05	15.17	100.00
TRINITY_DN100380_c0_g1_i1	TRINITY_DN100380_c0_g1_i1	624	391.39	9.00	9.41	6.47	100.00
TRINITY_DN100384_c0_g1_i1	TRINITY_DN100384_c0_g1_i1	1120	887.36	14.00	6.45	4.44	100.00
TRINITY_DN100388_c0_g1_i1	TRINITY_DN100388_c0_g1_i1	618	385.40	5.00	5.31	3.65	100.00
TRINITY_DN100390_c0_g1_i1	TRINITY_DN100390_c0_g1_i1	556	323.44	7.00	8.85	6.09	100.00
TRINITY_DN100399_c0_g1_i1	TRINITY_DN100399_c0_g1_i1	303	72.75	3.00	16.87	11.60	100.00
TRINITY_DN1003_c0_g1_i2	TRINITY_DN1003_c0_g1_i2	3232	2999.36	564.00	76.92	52.90	100.00
TRINITY_DN100404_c0_g1_i1	TRINITY_DN100404_c0_g1_i1	656	423.38	8.00	7.73	5.32	100.00
TRINITY_DN100408_c0_g1_i1	TRINITY_DN100408_c0_g1_i1	711	478.37	6.00	5.13	3.53	100.00
TRINITY_DN100415_c0_g1_i1	TRINITY_DN100415_c0_g1_i1	822	589.36	11.00	7.63	5.25	100.00
TRINITY_DN100416_c0_g1_i1	TRINITY_DN100416_c0_g1_i1	420	187.66	6.00	13.08	9.00	100.00
TRINITY_DN10041_c0_g1_i1	TRINITY_DN10041_c0_g1_i1	2957	2724.36	146.00	21.92	15.08	100.00
TRINITY_DN100437_c0_g1_i1	TRINITY_DN100437_c0_g1_i1	342	110.29	5.00	18.54	12.75	100.00
TRINITY_DN100445_c0_g1_i1	TRINITY_DN100445_c0_g1_i1	429	196.63	6.00	12.48	8.58	100.00
TRINITY_DN100453_c0_g1_i1	TRINITY_DN100453_c0_g1_i1	336	104.41	4.00	15.67	10.78	100.00
TRINITY_DN100460_c0_g1_i1	TRINITY_DN100460_c0_g1_i1	418	185.66	4.00	8.81	6.06	100.00
TRINITY_DN100464_c0_g1_i1	TRINITY_DN100464_c0_g1_i1	1033	800.36	11.00	5.62	3.87	100.00
TRINITY_DN100479_c0_g1_i1	TRINITY_DN100479_c0_g1_i1	1195	962.36	31.00	13.18	9.06	100.00
TRINITY_DN100504_c0_g1_i1	TRINITY_DN100504_c0_g1_i1	434	201.62	4.00	8.12	5.58	100.00
TRINITY_DN10050_c0_g1_i1	TRINITY_DN10050_c0_g1_i1	490	257.51	13.00	20.65	14.20	100.00
TRINITY_DN100511_c0_g1_i1	TRINITY_DN100511_c0_g1_i1	1210	977.36	54.00	22.60	15.54	100.00
TRINITY_DN10051_c2_g1_i1	TRINITY_DN10051_c2_g1_i1	1637	1404.36	44.00	12.82	8.81	100.00
TRINITY_DN100521_c0_g1_i1	TRINITY_DN100521_c0_g1_i1	420	187.66	4.00	8.72	6.00	100.00
TRINITY_DN100530_c0_g1_i1	TRINITY_DN100530_c0_g1_i1	402	169.72	6.00	14.46	9.95	100.00
TRINITY_DN100534_c0_g1_i1	TRINITY_DN100534_c0_g1_i1	540	307.45	13.00	17.30	11.90	100.00
TRINITY_DN100542_c0_g1_i1	TRINITY_DN100542_c0_g1_i1	653	420.38	8.00	7.78	5.35	100.00
TRINITY_DN10054_c1_g1_i1	TRINITY_DN10054_c1_g1_i1	1612	1379.36	39.00	11.57	7.95	100.00
TRINITY_DN100557_c0_g1_i1	TRINITY_DN100557_c0_g1_i1	428	195.63	7.00	14.64	10.07	100.00
TRINITY_DN100558_c0_g1_i1	TRINITY_DN100558_c0_g1_i1	436	203.61	3.00	6.03	4.15	100.00
TRINITY_DN100566_c0_g1_i1	TRINITY_DN100566_c0_g1_i1	467	234.55	9.00	15.70	10.80	100.00
TRINITY_DN100569_c0_g1_i1	TRINITY_DN100569_c0_g1_i1	674	441.37	16.00	14.83	10.20	100.00
TRINITY_DN100570_c0_g1_i1	TRINITY_DN100570_c0_g1_i1	792	559.36	24.00	17.55	12.07	100.00
TRINITY_DN100575_c0_g1_i1	TRINITY_DN100575_c0_g1_i1	424	191.64	5.00	10.67	7.34	100.00
TRINITY_DN10057_c0_g1_i4	TRINITY_DN10057_c0_g1_i4	616	383.40	9.00	9.60	6.60	100.00
TRINITY_DN100580_c0_g1_i1	TRINITY_DN100580_c0_g1_i1	565	332.43	4.00	4.92	3.39	100.00
TRINITY_DN100582_c0_g1_i1	TRINITY_DN100582_c0_g1_i1	486	253.52	4.00	6.45	4.44	100.00
TRINITY_DN100593_c0_g1_i1	TRINITY_DN100593_c0_g1_i1	408	175.70	7.00	16.30	11.21	100.00
TRINITY_DN100599_c0_g1_i1	TRINITY_DN100599_c0_g1_i1	321	89.85	2.00	9.11	6.26	100.00
TRINITY_DN1005_c0_g3_i2	TRINITY_DN1005_c0_g3_i2	454	221.57	4.00	7.38	5.08	100.00
TRINITY_DN100600_c0_g1_i1	TRINITY_DN100600_c0_g1_i1	534	301.46	13.00	17.64	12.13	100.00
TRINITY_DN100602_c0_g1_i1	TRINITY_DN100602_c0_g1_i1	437	204.61	4.00	8.00	5.50	100.00
TRINITY_DN100609_c0_g1_i1	TRINITY_DN100609_c0_g1_i1	911	678.36	19.00	11.46	7.88	100.00
TRINITY_DN100623_c0_g1_i1	TRINITY_DN100623_c0_g1_i1	340	108.33	2.00	7.55	5.19	100.00
TRINITY_DN100625_c0_g1_i1	TRINITY_DN100625_c0_g1_i1	733	500.37	15.00	12.26	8.43	100.00
TRINITY_DN100635_c0_g1_i1	TRINITY_DN100635_c0_g1_i1	805	572.36	9.00	6.43	4.42	100.00
TRINITY_DN100636_c0_g1_i1	TRINITY_DN100636_c0_g1_i1	483	250.52	8.00	13.06	8.98	100.00
TRINITY_DN100639_c0_g1_i1	TRINITY_DN100639_c0_g1_i1	534	301.46	7.00	9.50	6.53	100.00
TRINITY_DN100643_c0_g1_i1	TRINITY_DN100643_c0_g1_i1	318	86.96	3.00	14.11	9.71	100.00
TRINITY_DN100649_c0_g1_i1	TRINITY_DN100649_c0_g1_i1	1439	1206.36	23.00	7.80	5.36	100.00
TRINITY_DN100651_c0_g1_i1	TRINITY_DN100651_c0_g1_i1	650	417.38	11.00	10.78	7.41	100.00
TRINITY_DN100652_c0_g1_i1	TRINITY_DN100652_c0_g1_i1	336	104.41	3.00	11.75	8.08	100.00
TRINITY_DN10065_c3_g1_i7	TRINITY_DN10065_c3_g1_i7	3755	3522.36	339.00	39.37	27.08	100.00
TRINITY_DN10065_c3_g2_i1	TRINITY_DN10065_c3_g2_i1	1761	1528.36	91.00	24.36	16.75	100.00
TRINITY_DN10066_c0_g1_i1	TRINITY_DN10066_c0_g1_i1	453	220.57	4.00	7.42	5.10	100.00
TRINITY_DN1006_c1_g1_i15	TRINITY_DN1006_c1_g1_i15	1335	1102.36	239.00	88.69	61.00	100.00
TRINITY_DN1006_c3_g1_i1	TRINITY_DN1006_c3_g1_i1	631	398.39	9.00	9.24	6.36	100.00
TRINITY_DN100700_c0_g1_i1	TRINITY_DN100700_c0_g1_i1	998	765.36	17.00	9.09	6.25	100.00
TRINITY_DN100704_c0_g1_i1	TRINITY_DN100704_c0_g1_i1	335	103.44	7.00	27.68	19.04	100.00
TRINITY_DN100714_c0_g1_i1	TRINITY_DN100714_c0_g1_i1	648	415.38	10.00	9.85	6.77	100.00
TRINITY_DN100718_c0_g1_i1	TRINITY_DN100718_c0_g1_i1	443	210.60	5.00	9.71	6.68	100.00
TRINITY_DN100737_c0_g1_i1	TRINITY_DN100737_c0_g1_i1	552	319.44	5.00	6.40	4.40	100.00
TRINITY_DN100739_c0_g1_i1	TRINITY_DN100739_c0_g1_i1	1581	1348.36	27.00	8.19	5.63	100.00
TRINITY_DN10075_c0_g1_i1	TRINITY_DN10075_c0_g1_i1	712	479.37	51.00	43.52	29.93	100.00
TRINITY_DN100762_c0_g1_i1	TRINITY_DN100762_c0_g1_i1	354	122.10	4.00	13.40	9.22	100.00
TRINITY_DN100763_c0_g1_i1	TRINITY_DN100763_c0_g1_i1	705	472.37	5.00	4.33	2.98	100.00
TRINITY_DN100765_c0_g1_i1	TRINITY_DN100765_c0_g1_i1	412	179.68	4.00	9.11	6.26	100.00
TRINITY_DN100780_c0_g1_i1	TRINITY_DN100780_c0_g1_i1	317	86.00	5.00	23.78	16.36	100.00
TRINITY_DN100782_c0_g1_i1	TRINITY_DN100782_c0_g1_i1	615	382.40	21.00	22.46	15.45	100.00
TRINITY_DN10078_c1_g1_i8	TRINITY_DN10078_c1_g1_i8	1881	1648.36	33.16	8.23	5.66	100.00
TRINITY_DN10078_c1_g2_i3	TRINITY_DN10078_c1_g2_i3	2970	2737.36	145.84	21.79	14.99	100.00
TRINITY_DN100791_c0_g1_i1	TRINITY_DN100791_c0_g1_i1	411	178.69	5.00	11.45	7.87	100.00
TRINITY_DN100793_c0_g1_i1	TRINITY_DN100793_c0_g1_i1	489	256.51	15.00	23.92	16.45	100.00
TRINITY_DN100799_c0_g1_i1	TRINITY_DN100799_c0_g1_i1	491	258.51	4.00	6.33	4.35	100.00
TRINITY_DN10079_c0_g1_i3	TRINITY_DN10079_c0_g1_i3	1841	1608.36	54.00	13.73	9.45	100.00
TRINITY_DN100804_c0_g1_i1	TRINITY_DN100804_c0_g1_i1	944	711.36	29.00	16.68	11.47	100.00
TRINITY_DN100826_c0_g1_i1	TRINITY_DN100826_c0_g1_i1	582	349.42	12.00	14.05	9.66	100.00
TRINITY_DN10082_c9_g1_i1	TRINITY_DN10082_c9_g1_i1	847	614.36	989.00	658.51	452.90	100.00
TRINITY_DN100844_c0_g1_i1	TRINITY_DN100844_c0_g1_i1	674	441.37	8.00	7.41	5.10	100.00
TRINITY_DN10085_c0_g2_i1	TRINITY_DN10085_c0_g2_i1	997	764.36	23.00	12.31	8.47	100.00
TRINITY_DN100864_c0_g1_i1	TRINITY_DN100864_c0_g1_i1	531	298.46	5.00	6.85	4.71	100.00
TRINITY_DN100865_c0_g1_i1	TRINITY_DN100865_c0_g1_i1	563	330.43	6.00	7.43	5.11	100.00
TRINITY_DN100866_c0_g1_i1	TRINITY_DN100866_c0_g1_i1	672	439.37	9.00	8.38	5.76	100.00
TRINITY_DN100878_c0_g1_i1	TRINITY_DN100878_c0_g1_i1	508	275.49	9.00	13.36	9.19	100.00
TRINITY_DN100887_c0_g1_i1	TRINITY_DN100887_c0_g1_i1	424	191.64	5.00	10.67	7.34	100.00
TRINITY_DN10089_c0_g1_i7	TRINITY_DN10089_c0_g1_i7	1828	1595.36	195.00	50.00	34.39	100.00
TRINITY_DN1008_c0_g1_i2	TRINITY_DN1008_c0_g1_i2	504	271.49	6.00	9.04	6.22	100.00
TRINITY_DN1008_c1_g1_i1	TRINITY_DN1008_c1_g1_i1	431	198.63	1.00	2.06	1.42	100.00
TRINITY_DN1008_c2_g1_i1	TRINITY_DN1008_c2_g1_i1	1233	1000.36	277.00	113.27	77.90	100.00
TRINITY_DN100926_c0_g1_i1	TRINITY_DN100926_c0_g1_i1	921	688.36	11.00	6.54	4.50	100.00
TRINITY_DN100930_c0_g1_i1	TRINITY_DN100930_c0_g1_i1	325	93.71	5.00	21.83	15.01	100.00
TRINITY_DN100939_c0_g1_i1	TRINITY_DN100939_c0_g1_i1	792	559.36	9.00	6.58	4.53	100.00
TRINITY_DN100947_c0_g1_i1	TRINITY_DN100947_c0_g1_i1	420	187.66	6.00	13.08	9.00	100.00
TRINITY_DN100951_c0_g1_i3	TRINITY_DN100951_c0_g1_i3	1976	1743.36	130.00	30.50	20.98	100.00
TRINITY_DN100952_c0_g1_i1	TRINITY_DN100952_c0_g1_i1	612	379.40	13.00	14.02	9.64	100.00
TRINITY_DN100953_c0_g1_i1	TRINITY_DN100953_c0_g1_i1	798	565.36	11.00	7.96	5.47	100.00
TRINITY_DN100975_c0_g1_i1	TRINITY_DN100975_c0_g1_i1	686	453.37	11.00	9.93	6.83	100.00
TRINITY_DN100983_c0_g1_i1	TRINITY_DN100983_c0_g1_i1	715	482.37	4.00	3.39	2.33	100.00
TRINITY_DN100986_c0_g1_i1	TRINITY_DN100986_c0_g1_i1	657	424.38	9.00	8.68	5.97	100.00
TRINITY_DN100989_c0_g1_i1	TRINITY_DN100989_c0_g1_i1	680	447.37	4.00	3.66	2.52	100.00
TRINITY_DN100994_c0_g1_i1	TRINITY_DN100994_c0_g1_i1	317	86.00	3.00	14.27	9.81	100.00
TRINITY_DN100998_c0_g1_i1	TRINITY_DN100998_c0_g1_i1	729	496.37	6.00	4.94	3.40	100.00
TRINITY_DN1009_c0_g1_i1	TRINITY_DN1009_c0_g1_i1	2711	2478.36	1277.00	210.77	144.96	100.00
TRINITY_DN1009_c1_g1_i1	TRINITY_DN1009_c1_g1_i1	326	94.68	1.00	4.32	2.97	100.00
TRINITY_DN100_c0_g1_i1	TRINITY_DN100_c0_g1_i1	1638	1405.36	1415.00	411.87	283.27	100.00
TRINITY_DN100_c25_g1_i1	TRINITY_DN100_c25_g1_i1	1372	1139.36	54.00	19.39	13.33	100.00
TRINITY_DN101013_c0_g1_i1	TRINITY_DN101013_c0_g1_i1	439	206.60	10.00	19.80	13.62	100.00
TRINITY_DN101017_c0_g1_i1	TRINITY_DN101017_c0_g1_i1	628	395.39	15.00	15.52	10.67	100.00
TRINITY_DN101023_c0_g1_i1	TRINITY_DN101023_c0_g1_i1	440	207.60	7.00	13.79	9.49	100.00
TRINITY_DN101027_c0_g1_i1	TRINITY_DN101027_c0_g1_i1	571	338.42	7.00	8.46	5.82	100.00
TRINITY_DN101043_c0_g1_i1	TRINITY_DN101043_c0_g1_i1	423	190.65	13.00	27.89	19.18	100.00
TRINITY_DN101056_c0_g1_i1	TRINITY_DN101056_c0_g1_i1	435	202.61	8.00	16.15	11.11	100.00
TRINITY_DN10105_c3_g1_i1	TRINITY_DN10105_c3_g1_i1	541	308.45	11.00	14.59	10.03	100.00
TRINITY_DN10105_c5_g2_i1	TRINITY_DN10105_c5_g2_i1	1330	1097.36	78.00	29.08	20.00	100.00
TRINITY_DN101064_c0_g1_i1	TRINITY_DN101064_c0_g1_i1	606	373.40	12.00	13.15	9.04	100.00
TRINITY_DN101067_c0_g1_i1	TRINITY_DN101067_c0_g1_i1	367	134.95	3.00	9.09	6.25	100.00
TRINITY_DN101076_c0_g1_i1	TRINITY_DN101076_c0_g1_i1	374	141.89	3.00	8.65	5.95	100.00
TRINITY_DN10107_c0_g1_i4	TRINITY_DN10107_c0_g1_i4	561	328.43	3.00	3.74	2.57	100.00
TRINITY_DN101087_c0_g1_i1	TRINITY_DN101087_c0_g1_i1	387	154.80	3.00	7.93	5.45	100.00
TRINITY_DN101098_c0_g1_i1	TRINITY_DN101098_c0_g1_i1	596	363.41	4.00	4.50	3.10	100.00
TRINITY_DN1010_c1_g1_i5	TRINITY_DN1010_c1_g1_i5	2624	2391.36	527.00	90.15	62.00	100.00
TRINITY_DN101104_c0_g1_i1	TRINITY_DN101104_c0_g1_i1	358	126.05	3.00	9.74	6.70	100.00
TRINITY_DN101127_c0_g1_i1	TRINITY_DN101127_c0_g1_i1	781	548.36	13.00	9.70	6.67	100.00
TRINITY_DN101133_c0_g1_i1	TRINITY_DN101133_c0_g1_i1	370	137.92	3.00	8.90	6.12	100.00
TRINITY_DN101135_c0_g1_i1	TRINITY_DN101135_c0_g1_i1	981	748.36	31.00	16.94	11.65	100.00
TRINITY_DN101139_c0_g1_i1	TRINITY_DN101139_c0_g1_i1	377	144.87	5.00	14.12	9.71	100.00
TRINITY_DN101143_c0_g1_i1	TRINITY_DN101143_c0_g1_i1	701	468.37	9.00	7.86	5.41	100.00
TRINITY_DN101152_c0_g1_i1	TRINITY_DN101152_c0_g1_i1	677	444.37	27.00	24.85	17.09	100.00
TRINITY_DN101166_c0_g1_i1	TRINITY_DN101166_c0_g1_i1	331	99.54	3.00	12.33	8.48	100.00
TRINITY_DN10116_c0_g1_i1	TRINITY_DN10116_c0_g1_i1	983	750.36	43.00	23.44	16.12	100.00
TRINITY_DN101172_c0_g1_i1	TRINITY_DN101172_c0_g1_i1	780	547.36	30.00	22.42	15.42	100.00
TRINITY_DN101173_c0_g1_i1	TRINITY_DN101173_c0_g1_i1	302	71.81	2.00	11.39	7.84	100.00
TRINITY_DN101178_c0_g1_i1	TRINITY_DN101178_c0_g1_i1	329	97.59	4.00	16.77	11.53	100.00
TRINITY_DN10117_c0_g1_i4	TRINITY_DN10117_c0_g1_i4	3440	3207.36	292.00	37.24	25.61	100.00
TRINITY_DN101188_c0_g1_i1	TRINITY_DN101188_c0_g1_i1	410	177.69	4.00	9.21	6.33	100.00
TRINITY_DN10118_c0_g1_i2	TRINITY_DN10118_c0_g1_i2	2085	1852.36	51.00	11.26	7.75	100.00
TRINITY_DN1011_c0_g1_i2	TRINITY_DN1011_c0_g1_i2	944	711.36	68.00	39.10	26.89	100.00
TRINITY_DN1011_c2_g1_i2	TRINITY_DN1011_c2_g1_i2	1537	1304.36	347.00	108.82	74.84	100.00
TRINITY_DN1011_c8_g1_i1	TRINITY_DN1011_c8_g1_i1	404	171.72	1.00	2.38	1.64	100.00
TRINITY_DN10120_c7_g1_i1	TRINITY_DN10120_c7_g1_i1	358	126.05	6.00	19.47	13.39	100.00
TRINITY_DN101217_c0_g1_i1	TRINITY_DN101217_c0_g1_i1	661	428.38	5.00	4.77	3.28	100.00
TRINITY_DN10121_c0_g1_i6	TRINITY_DN10121_c0_g1_i6	1662	1429.36	85.00	24.33	16.73	100.00
TRINITY_DN101221_c0_g1_i1	TRINITY_DN101221_c0_g1_i1	382	149.83	9.00	24.57	16.90	100.00
TRINITY_DN101226_c0_g1_i1	TRINITY_DN101226_c0_g1_i1	402	169.72	7.00	16.87	11.60	100.00
TRINITY_DN101242_c0_g1_i1	TRINITY_DN101242_c0_g1_i1	565	332.43	18.00	22.15	15.23	100.00
