Gene_id	K
TRINITY_DN108661_c0_g1_i1.p1	K06636
TRINITY_DN10883_c0_g1_i10.p1	K17086
TRINITY_DN108901_c0_g1_i1.p1	K23345
TRINITY_DN108933_c0_g1_i1.p2	K10950
TRINITY_DN10893_c2_g1_i12.p1	K05730
TRINITY_DN10894_c1_g1_i3.p1	K18201
TRINITY_DN108960_c0_g1_i1.p1	K01785
TRINITY_DN10896_c0_g1_i1.p1	K03248
TRINITY_DN108998_c0_g1_i1.p1	K07767
TRINITY_DN1089_c0_g2_i1.p1	K10359
TRINITY_DN109026_c0_g1_i1.p1	K13761
TRINITY_DN1090_c0_g1_i1.p1	K13088
TRINITY_DN1092_c2_g1_i10.p1	K05695
TRINITY_DN109323_c0_g1_i1.p1	K11992
TRINITY_DN109478_c0_g1_i1.p1	K21108
TRINITY_DN10955_c0_g1_i1.p1	K07277
TRINITY_DN109598_c0_g1_i1.p1	K07432
TRINITY_DN109666_c0_g1_i1.p1	K07023
TRINITY_DN10972_c0_g1_i3.p1	K10355
TRINITY_DN109740_c0_g1_i1.p1	K05665
TRINITY_DN10988_c0_g1_i12.p1	K09614
TRINITY_DN109930_c0_g1_i1.p1	K10838
TRINITY_DN1099_c2_g2_i2.p1	K20072
TRINITY_DN10_c8_g1_i1.p1	K03283
TRINITY_DN11011_c0_g3_i4.p1	K18808
TRINITY_DN11014_c0_g1_i16.p1	K14802
TRINITY_DN110179_c0_g1_i1.p1	K05676
TRINITY_DN11021_c0_g1_i9.p1	K17693
TRINITY_DN11021_c1_g1_i7.p1	K10693
TRINITY_DN1105_c1_g1_i1.p1	K08341
TRINITY_DN110675_c0_g1_i1.p1	K15272
TRINITY_DN11067_c0_g1_i1.p1	K21890
TRINITY_DN1106_c8_g1_i2.p1	K05855
TRINITY_DN11078_c0_g1_i1.p1	K09497
TRINITY_DN110796_c0_g1_i1.p1	K15101
TRINITY_DN1107_c11_g1_i1.p1	K12195
TRINITY_DN1107_c19_g1_i1.p1	K03662
TRINITY_DN1107_c1_g1_i1.p1	K01369
TRINITY_DN11083_c0_g1_i14.p1	K08882
TRINITY_DN11086_c1_g1_i2.p1	K08517
TRINITY_DN11089_c0_g1_i4.p1	K14415
TRINITY_DN11092_c0_g1_i2.p1	K14410
TRINITY_DN110970_c0_g1_i1.p1	K14837
TRINITY_DN11097_c0_g1_i1.p1	K21770
TRINITY_DN11114_c1_g1_i4.p1	K14355
TRINITY_DN111301_c0_g1_i1.p1	K05285
TRINITY_DN11143_c1_g1_i52.p1	K00727
TRINITY_DN11157_c0_g3_i1.p1	K06704
TRINITY_DN11160_c1_g1_i5.p1	K03083
TRINITY_DN11170_c0_g3_i3.p1	K10436
TRINITY_DN11171_c1_g2_i2.p1	K03676
TRINITY_DN11172_c1_g1_i9.p1	K07252
TRINITY_DN1117_c3_g1_i1.p1	K24387
TRINITY_DN11186_c1_g2_i1.p1	K22380
TRINITY_DN11193_c0_g1_i4.p1	K11255
TRINITY_DN11194_c0_g1_i2.p1	K18208
TRINITY_DN111_c21_g2_i1.p1	K00816
TRINITY_DN111_c30_g1_i2.p1	K08515
TRINITY_DN11223_c1_g1_i3.p1	K20174
TRINITY_DN11225_c0_g1_i1.p1	K11095
TRINITY_DN11227_c0_g1_i1.p1	K14611
TRINITY_DN1122_c3_g1_i1.p1	K20656
TRINITY_DN11238_c0_g1_i2.p1	K19196
TRINITY_DN11259_c0_g1_i1.p1	K14966
TRINITY_DN11266_c1_g1_i1.p1	K16060
TRINITY_DN11270_c0_g1_i1.p1	K04798
TRINITY_DN1128_c0_g1_i1.p1	K02893
TRINITY_DN112911_c0_g1_i3.p2	K06751
TRINITY_DN112911_c1_g1_i1.p1	K06751
TRINITY_DN112914_c0_g1_i1.p1	K00522
TRINITY_DN112921_c0_g1_i1.p1	K02991
TRINITY_DN112933_c0_g1_i1.p1	K10272
TRINITY_DN112938_c0_g1_i1.p1	K15174
TRINITY_DN112941_c0_g1_i1.p1	K11459
TRINITY_DN11294_c0_g1_i1.p1	K11669
TRINITY_DN112955_c0_g1_i1.p1	K09228
TRINITY_DN112959_c0_g1_i1.p1	K24808
TRINITY_DN112987_c0_g1_i1.p1	K14863
TRINITY_DN112989_c0_g2_i1.p1	K15255
TRINITY_DN113016_c0_g1_i1.p1	K02184
TRINITY_DN113038_c0_g1_i2.p1	K15180
TRINITY_DN11304_c0_g1_i2.p1	K15168
TRINITY_DN113050_c0_g1_i1.p1	K23002
TRINITY_DN113053_c0_g1_i1.p1	K13238
TRINITY_DN11305_c0_g1_i1.p1	K01285
TRINITY_DN1130_c0_g1_i1.p1	K03257
TRINITY_DN113106_c0_g1_i1.p1	K18669
TRINITY_DN113108_c0_g1_i1.p1	K25058
TRINITY_DN113120_c0_g1_i1.p1	K04985
TRINITY_DN113135_c0_g1_i1.p1	K24146
TRINITY_DN113137_c0_g1_i1.p1	K19603
TRINITY_DN113138_c0_g1_i1.p1	K18627
TRINITY_DN11314_c0_g1_i2.p1	K01307
TRINITY_DN113157_c0_g1_i1.p1	K10751
TRINITY_DN113158_c0_g1_i1.p1	K20776
TRINITY_DN113183_c0_g1_i1.p1	K24815
TRINITY_DN113184_c0_g1_i1.p1	K10980
TRINITY_DN113195_c0_g1_i1.p1	K14846
TRINITY_DN1131_c2_g1_i1.p1	K05727
TRINITY_DN113214_c0_g1_i1.p1	K07179
TRINITY_DN113223_c0_g1_i1.p1	K11293
TRINITY_DN113240_c0_g1_i1.p1	K02085
TRINITY_DN113251_c0_g1_i1.p1	K18667
TRINITY_DN113258_c0_g1_i1.p1	K12403
TRINITY_DN113267_c0_g1_i1.p1	K22610
TRINITY_DN113270_c0_g1_i1.p1	K04705
TRINITY_DN113285_c0_g1_i1.p1	K01870
TRINITY_DN11328_c0_g1_i1.p1	K02832
TRINITY_DN113290_c0_g1_i1.p1	K20813
TRINITY_DN113295_c0_g1_i2.p1	K20051
TRINITY_DN113308_c0_g1_i1.p1	K01456
TRINITY_DN1133_c0_g1_i1.p1	K10593
TRINITY_DN1133_c1_g1_i3.p1	K10593
TRINITY_DN113401_c0_g1_i1.p1	K22762
TRINITY_DN11340_c0_g1_i4.p1	K20685
TRINITY_DN113416_c0_g1_i1.p1	K17604
TRINITY_DN113434_c0_g1_i1.p1	K02987
TRINITY_DN11344_c0_g1_i4.p1	K18040
TRINITY_DN113462_c0_g1_i2.p1	K24675
TRINITY_DN113472_c0_g1_i1.p1	K09377
TRINITY_DN113492_c0_g1_i1.p2	K01796
TRINITY_DN113493_c0_g1_i1.p1	K08150
TRINITY_DN113494_c0_g1_i1.p1	K01052
TRINITY_DN113500_c0_g1_i1.p1	K10408
TRINITY_DN113537_c0_g1_i1.p1	K25730
TRINITY_DN113539_c0_g1_i1.p1	K24229
TRINITY_DN113561_c0_g1_i1.p1	K23706
TRINITY_DN113567_c0_g1_i1.p1	K23390
TRINITY_DN113581_c0_g1_i1.p1	K01201
TRINITY_DN113598_c0_g1_i1.p1	K06620
TRINITY_DN11360_c0_g2_i2.p1	K06171
TRINITY_DN113611_c0_g1_i1.p1	K16816
TRINITY_DN113623_c0_g1_i1.p1	K20241
TRINITY_DN11362_c0_g1_i2.p1	K00763
TRINITY_DN113662_c0_g1_i1.p1	K06240
TRINITY_DN113679_c0_g1_i1.p1	K17614
TRINITY_DN113693_c0_g1_i1.p1	K00784
TRINITY_DN113701_c0_g1_i1.p1	K02577
TRINITY_DN11371_c0_g1_i32.p1	K18037
TRINITY_DN113733_c0_g1_i1.p1	K21548
TRINITY_DN11373_c0_g1_i7.p1	K24062
TRINITY_DN113756_c0_g1_i1.p1	K24051
TRINITY_DN11376_c0_g1_i3.p1	K12383
TRINITY_DN113776_c0_g1_i1.p1	K19685
TRINITY_DN113785_c0_g1_i1.p1	K10408
TRINITY_DN113794_c0_g1_i1.p1	K08074
TRINITY_DN1137_c3_g2_i2.p1	K16942
TRINITY_DN113801_c0_g1_i1.p1	K02327
TRINITY_DN113824_c0_g1_i1.p1	K14860
TRINITY_DN113825_c0_g1_i1.p1	K02866
TRINITY_DN113848_c0_g1_i1.p1	K17613
TRINITY_DN113864_c0_g1_i1.p1	K18932
TRINITY_DN113890_c0_g1_i1.p1	K25164
TRINITY_DN113897_c0_g1_i1.p1	K14328
TRINITY_DN113903_c0_g1_i1.p1	K05866
TRINITY_DN113909_c0_g1_i1.p1	K02963
TRINITY_DN1139_c2_g1_i4.p1	K17969
TRINITY_DN113_c4_g2_i3.p1	K03178
TRINITY_DN114012_c0_g1_i1.p1	K23731
TRINITY_DN114013_c0_g1_i1.p1	K11883
TRINITY_DN114024_c0_g1_i1.p1	K07759
TRINITY_DN114028_c0_g1_i1.p1	K11831
TRINITY_DN11402_c0_g1_i6.p1	K00699
TRINITY_DN114048_c0_g1_i1.p1	K20473
TRINITY_DN114054_c0_g1_i1.p1	K13205
TRINITY_DN114082_c0_g1_i1.p1	K13141
TRINITY_DN114103_c0_g1_i1.p1	K12353
TRINITY_DN114127_c0_g1_i1.p1	K17262
TRINITY_DN114150_c0_g1_i1.p1	K19750
TRINITY_DN114179_c0_g1_i1.p1	K00777
TRINITY_DN114235_c0_g1_i2.p1	K12968
TRINITY_DN11423_c0_g1_i13.p1	K00905
TRINITY_DN11426_c0_g2_i1.p1	K16639
TRINITY_DN114278_c0_g1_i2.p1	K06820
TRINITY_DN11428_c0_g1_i1.p1	K03635
TRINITY_DN114301_c0_g1_i1.p1	K13158
TRINITY_DN11430_c3_g1_i1.p1	K10330
TRINITY_DN11431_c0_g1_i3.p1	K18169
TRINITY_DN114346_c0_g1_i1.p1	K25552
TRINITY_DN114357_c0_g1_i1.p1	K21774
TRINITY_DN114376_c0_g1_i1.p1	K05030
TRINITY_DN114449_c0_g1_i1.p1	K03018
TRINITY_DN11445_c1_g1_i2.p1	K08190
TRINITY_DN114481_c0_g1_i1.p1	K10578
TRINITY_DN114484_c0_g1_i1.p1	K25207
TRINITY_DN114506_c0_g1_i1.p1	K01372
TRINITY_DN11452_c4_g1_i1.p1	K09084
TRINITY_DN114551_c0_g1_i2.p1	K12828
TRINITY_DN114559_c0_g1_i1.p1	K14557
TRINITY_DN114568_c0_g1_i1.p1	K08765
TRINITY_DN11457_c2_g1_i4.p1	K00753
TRINITY_DN114596_c0_g1_i1.p1	K06237
TRINITY_DN11460_c0_g2_i1.p1	K10364
TRINITY_DN114650_c0_g1_i1.p1	K01640
TRINITY_DN114665_c0_g1_i1.p2	K09228
TRINITY_DN11466_c0_g1_i2.p1	K21644
TRINITY_DN11468_c1_g1_i1.p1	K22991
TRINITY_DN11469_c0_g1_i1.p1	K09880
TRINITY_DN1146_c5_g1_i1.p1	K22557
TRINITY_DN114720_c0_g1_i1.p1	K03847
TRINITY_DN114728_c0_g1_i1.p1	K10645
TRINITY_DN114733_c0_g1_i1.p1	K24931
TRINITY_DN114743_c0_g1_i1.p1	K02327
TRINITY_DN114757_c0_g1_i1.p1	K06232
TRINITY_DN114820_c0_g1_i1.p1	K04261
TRINITY_DN11482_c0_g1_i8.p1	K25165
TRINITY_DN11484_c0_g1_i2.p1	K17302
TRINITY_DN114888_c0_g1_i1.p1	K06229
TRINITY_DN114897_c0_g1_i1.p1	K02951
TRINITY_DN11489_c0_g1_i2.p1	K09884
TRINITY_DN114972_c0_g1_i1.p1	K08857
TRINITY_DN114999_c0_g1_i1.p1	K08673
TRINITY_DN115009_c0_g1_i1.p1	K22077
TRINITY_DN115014_c0_g1_i1.p1	K10693
TRINITY_DN115033_c0_g1_i1.p1	K06974
TRINITY_DN115038_c0_g1_i1.p1	K15043
TRINITY_DN115042_c0_g1_i1.p1	K24473
TRINITY_DN115043_c0_g1_i1.p1	K02537
TRINITY_DN115062_c0_g1_i1.p1	K10408
TRINITY_DN115074_c0_g1_i1.p1	K00139
TRINITY_DN115076_c0_g1_i1.p1	K20222
TRINITY_DN115086_c0_g1_i1.p1	K15259
TRINITY_DN115115_c0_g1_i1.p1	K18598
TRINITY_DN11512_c0_g1_i6.p1	K05673
TRINITY_DN115130_c0_g1_i1.p1	K02998
TRINITY_DN115134_c0_g1_i1.p1	K06669
TRINITY_DN115138_c0_g1_i1.p1	K09668
TRINITY_DN115139_c0_g1_i1.p1	K10693
TRINITY_DN115144_c0_g1_i1.p1	K18405
TRINITY_DN11516_c1_g1_i2.p1	K07424
TRINITY_DN115201_c0_g1_i1.p1	K19673
TRINITY_DN115210_c0_g1_i1.p1	K04351
TRINITY_DN115231_c0_g1_i1.p1	K20120
TRINITY_DN115253_c0_g1_i1.p1	K18663
TRINITY_DN11529_c0_g1_i6.p1	K00327
TRINITY_DN11530_c0_g2_i2.p1	K08964
TRINITY_DN11530_c0_g4_i3.p1	K08964
TRINITY_DN11536_c0_g1_i2.p1	K20178
TRINITY_DN11536_c0_g2_i13.p1	K13139
TRINITY_DN115378_c0_g1_i1.p1	K02138
TRINITY_DN115399_c0_g1_i1.p1	K19602
TRINITY_DN115405_c0_g1_i1.p1	K16602
TRINITY_DN115458_c0_g1_i1.p1	K02183
TRINITY_DN115464_c0_g1_i1.p1	K02842
TRINITY_DN11547_c2_g1_i2.p1	K07920
TRINITY_DN115510_c0_g1_i1.p1	K22188
TRINITY_DN115560_c0_g1_i1.p1	K13997
TRINITY_DN115580_c0_g1_i1.p1	K14793
TRINITY_DN115584_c0_g1_i1.p1	K01019
TRINITY_DN115632_c0_g1_i1.p1	K12819
TRINITY_DN115651_c0_g1_i1.p1	K10747
TRINITY_DN11566_c0_g1_i4.p1	K12646
TRINITY_DN11567_c0_g2_i6.p1	K04527
TRINITY_DN115698_c0_g1_i1.p1	K00972
TRINITY_DN115701_c0_g1_i1.p1	K09228
TRINITY_DN115705_c0_g1_i1.p1	K23424
TRINITY_DN115759_c0_g1_i1.p1	K01358
TRINITY_DN115793_c0_g1_i1.p1	K24837
TRINITY_DN115795_c0_g1_i1.p1	K14964
TRINITY_DN115875_c0_g1_i1.p1	K14322
TRINITY_DN115885_c0_g1_i1.p1	K24751
TRINITY_DN11589_c0_g1_i3.p1	K26162
TRINITY_DN115901_c0_g1_i1.p1	K25647
TRINITY_DN115909_c0_g1_i1.p1	K02370
TRINITY_DN115924_c0_g1_i1.p1	K02183
TRINITY_DN115934_c0_g1_i1.p1	K04632
TRINITY_DN11595_c8_g1_i1.p1	K14396
TRINITY_DN115_c6_g1_i2.p1	K11997
TRINITY_DN116024_c0_g1_i1.p1	K07050
